Maa,2013,2012,2011,2010
Alankomaat,3404,1680,1295,1319
Albania,15,3,0,0
Belgia,2365,1293,978,229
Bosnia-Herzegovina,66,31,3,3
Bulgaria,4604,97,168,125
Espanja,923,352,32,47
Iso-Britannia,3810,2106,693,499
Italia,1135,952,262,240
Itavalta,4309,2369,1359,976
Kreikka,9860,20,10,2233
Kroatia,59,52,4,4
Latvia,45,32,15,0
Liettua,18,10,4,3
Luxemburg,43,0,0,15
Makedonia,205,1,0,1
Moldova,166,88,21,14
Norja,1570,871,507,378
Montenegro,60,7,0,0
Portugal,22,9,0,0
Puola,208,100,20,16
Ranska,1817,640,351,280
Romania,1023,162,47,34
Ruotsi,24792,9514,1691,1540
Saksa,31819,24151,14868,13208
Serbia,60,49,0,0
Slovakia,26,24,23,22
Slovenia,9,10,6,0
Suomi,429,328,161,82
Sveitsi,4861,3083,2140,1553
Syyria,6520800,2016500,0,0
Tanska,3357,2018,1290,1233
Tsekki,180,124,23,59
Turkki,585711,248666,9494,74
Ukraina,758,516,219,138
Unkari,325,86,42,47
Valko-Venaja,60,11,0,0
Venaja,3402,1544,16,8
Viro,10,0,0,0
